Name,TaxID,Lineage,Count,Proportion_All(%),Proportion_Classified(%)
Acanthamoeba polyphaga mimivirus,212035,Viruses;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae;Mimivirus,1,6.09918e-05,0.000644384
Acidovorax sp. KKS102,358220,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax,13,0.000792893,0.00837699
Acidovorax sp. RAC01,1842533,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax,9,0.000548926,0.00579945
Acidovorax sp. T1,1858609,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax,6,0.000365951,0.0038663
Acinetobacter baumannii,470,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter,165,0.0100636,0.106323
Acinetobacter bereziniae,106648,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter,2,0.000121984,0.00128877
Acinetobacter bouvetii,202951,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter,1,6.09918e-05,0.000644384
Acinetobacter calcoaceticus,471,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter,2,0.000121984,0.00128877
Acinetobacter chinensis,2004650,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter,2,0.000121984,0.00128877
Acinetobacter cumulans,2136182,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter,6,0.000365951,0.0038663
Acinetobacter defluvii,1871111,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter,1,6.09918e-05,0.000644384
Acinetobacter equi,1324350,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter,1,6.09918e-05,0.000644384
Acinetobacter guillouiae,106649,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter,2,0.000121984,0.00128877
Acinetobacter gyllenbergii,134534,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter,1,6.09918e-05,0.000644384
Acinetobacter haemolyticus,29430,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter,62,0.00378149,0.0399518
Acinetobacter indicus,756892,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter,44,0.00268364,0.0283529
Acinetobacter johnsonii,40214,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter,1220,0.0744099,0.786148
Acinetobacter junii,40215,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter,57,0.00347653,0.0367299
Acinetobacter lwoffii,28090,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter,22,0.00134182,0.0141764
Acinetobacter nosocomialis,106654,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter,1,6.09918e-05,0.000644384
Acinetobacter piscicola,2006115,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter,1,6.09918e-05,0.000644384
Acinetobacter pittii,48296,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter,21,0.00128083,0.0135321
Acinetobacter radioresistens,40216,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter,9,0.000548926,0.00579945
Acinetobacter schindleri,108981,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter,8,0.000487934,0.00515507
Acinetobacter seifertii,1530123,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter,27,0.00164678,0.0173984
Acinetobacter shaoyimingii,2715164,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter,1,6.09918e-05,0.000644384
Acinetobacter soli,487316,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter,1,6.09918e-05,0.000644384
Acinetobacter sp. ACNIH2,1758189,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter,3,0.000182975,0.00193315
Acinetobacter sp. CS-2,2798861,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter,1,6.09918e-05,0.000644384
Acinetobacter sp. MYb10,1827285,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter,5,0.000304959,0.00322192
Acinetobacter sp. NEB 394,2743575,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter,15,0.000914876,0.00966576
Acinetobacter sp. NEB149,2725684,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter,9,0.000548926,0.00579945
Acinetobacter sp. TTH0-4,1646498,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter,2,0.000121984,0.00128877
Acinetobacter sp. WCHA55,2004646,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter,4,0.000243967,0.00257754
Acinetobacter sp. WCHAc010034,1879049,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter,1,6.09918e-05,0.000644384
Acinetobacter sp. WCHAc010052,2004647,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter,2,0.000121984,0.00128877
Acinetobacter sp. YH12138,2601122,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter,1,6.09918e-05,0.000644384
Acinetobacter tandoii,202954,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter,1,6.09918e-05,0.000644384
Acinetobacter towneri,202956,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter,3,0.000182975,0.00193315
Acinetobacter ursingii,108980,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter,6,0.000365951,0.0038663
Acinetobacter wuhouensis,1879050,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter,2,0.000121984,0.00128877
Actinobacillus pleuropneumoniae,715,Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus,1,6.09918e-05,0.000644384
Actinomyces sp. HMT897,2789424,Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Actinomyces,1,6.09918e-05,0.000644384
Actinomyces sp. zg-332,2708340,Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Actinomyces,48,0.0029276,0.0309304
Actinoplanes missouriensis,1866,Bacteria;Actinobacteria;Actinomycetia;Micromonosporales;Micromonosporaceae;Actinoplanes,1,6.09918e-05,0.000644384
Aerococcus urinaeequi,51665,Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus,1,6.09918e-05,0.000644384
Aeromicrobium sp. A1-2,2107713,Bacteria;Actinobacteria;Actinomycetia;Propionibacteriales;Nocardioidaceae;Aeromicrobium,1,6.09918e-05,0.000644384
Aeromonas hydrophila,644,Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas,5,0.000304959,0.00322192
Aeromonas media,651,Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas,1,6.09918e-05,0.000644384
Aeromonas salmonicida,645,Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas,3,0.000182975,0.00193315
Aeromonas veronii,654,Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas,26,0.00158579,0.016754
Agrobacterium fabrum,1176649,Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Agrobacterium,1,6.09918e-05,0.000644384
Agrobacterium rubi,28099,Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Agrobacterium,1,6.09918e-05,0.000644384
Agrobacterium sp. MA01,2664893,Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Agrobacterium,1,6.09918e-05,0.000644384
Agrobacterium tumefaciens,358,Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Agrobacterium,6,0.000365951,0.0038663
Agrobacterium vitis,373,Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Agrobacterium,1,6.09918e-05,0.000644384
Algibacter alginicilyticus,1736674,Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Algibacter,1,6.09918e-05,0.000644384
Algibacter sp. L3A6,2686366,Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Algibacter,2,0.000121984,0.00128877
Aliarcobacter trophiarum,708186,Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Aliarcobacter,1,6.09918e-05,0.000644384
Alicycliphilus denitrificans,179636,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Alicycliphilus,9,0.000548926,0.00579945
Alkalibacter sp. ES005,2815577,Bacteria;Firmicutes;Clostridia;Eubacteriales;Eubacteriaceae;Alkalibacter,1,6.09918e-05,0.000644384
Alternaria alternata,5599,Eukaryota;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Alternaria,4,0.000243967,0.00257754
Amycolatopsis mediterranei,33910,Bacteria;Actinobacteria;Actinomycetia;Pseudonocardiales;Pseudonocardiaceae;Amycolatopsis,10,0.000609918,0.00644384
Anaerococcus obesiensis,1287640,Bacteria;Firmicutes;Tissierellia;Tissierellales;Peptoniphilaceae;Anaerococcus,1,6.09918e-05,0.000644384
Anaerocolumna cellulosilytica,433286,Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Anaerocolumna,1,6.09918e-05,0.000644384
Anaplasma marginale,770,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Anaplasma,6,0.000365951,0.0038663
Anatilimnocola aggregata,2528021,Bacteria;Planctomycetes;Planctomycetia;Pirellulales;Pirellulaceae;Anatilimnocola,1,6.09918e-05,0.000644384
Ancylobacter sp. TS-1,1850374,Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Xanthobacteraceae;Ancylobacter,2,0.000121984,0.00128877
Anoxybacillus caldiproteolyticus,247480,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anoxybacillus,7,0.000426942,0.00451069
Anoxybacillus sp. B7M1,1490057,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anoxybacillus,1,6.09918e-05,0.000644384
Antarcticibacterium arcticum,2585771,Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Antarcticibacterium,1,6.09918e-05,0.000644384
Apibacter raozihei,2500547,Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Weeksellaceae;Apibacter,1,6.09918e-05,0.000644384
Aquabacterium olei,1296669,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;;Aquabacterium,1,6.09918e-05,0.000644384
Aquisalimonas sp. 2447,2740807,Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Aquisalimonas,1,6.09918e-05,0.000644384
Aquitalea aquatilis,1537400,Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Chromobacteriaceae;Aquitalea,1,6.09918e-05,0.000644384
Aquitalea magnusonii,332411,Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Chromobacteriaceae;Aquitalea,1,6.09918e-05,0.000644384
Arcobacter nitrofigilis,28199,Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Arcobacter,1,6.09918e-05,0.000644384
Aromatoleum petrolei,76116,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Aromatoleum,2,0.000121984,0.00128877
Arthrobacter sp. 24S4-2,2575374,Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Arthrobacter,1,6.09918e-05,0.000644384
Arthrobacter sp. NEB 688,904039,Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Arthrobacter,1,6.09918e-05,0.000644384
Aspergillus clavatus,5057,Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus,2102,0.128205,1.35449
Aspergillus fischeri,36630,Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus,761,0.0464147,0.490376
Aspergillus fumigatus,746128,Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus,62,0.00378149,0.0399518
Aspergillus luchuensis,1069201,Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus,27,0.00164678,0.0173984
Aspergillus puulaauensis,1220207,Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus,38,0.00231769,0.0244866
Aspergillus tubingensis,5068,Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus,11,0.000670909,0.00708822
Ateline alphaherpesvirus 1,35243,Viruses;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae;Simplexvirus,1,6.09918e-05,0.000644384
Atlantibacter hermannii,565,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Atlantibacter,1,6.09918e-05,0.000644384
Aureimonas sp. AU20,1349819,Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Aurantimonadaceae;Aureimonas,3,0.000182975,0.00193315
Aureimonas sp. LMG 31693,2758041,Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Aurantimonadaceae;Aureimonas,1,6.09918e-05,0.000644384
Aureimonas sp. OT7,2816454,Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Aurantimonadaceae;Aureimonas,1,6.09918e-05,0.000644384
Avibacterium paragallinarum,728,Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Avibacterium,1,6.09918e-05,0.000644384
Azoarcus sp. DN11,356837,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Azoarcus,1,6.09918e-05,0.000644384
Azospirillum brasilense,192,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Azospirillaceae;Azospirillum,4,0.000243967,0.00257754
Azospirillum lipoferum,193,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Azospirillaceae;Azospirillum,1,6.09918e-05,0.000644384
Azospirillum oryzae,286727,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Azospirillaceae;Azospirillum,1,6.09918e-05,0.000644384
Azospirillum sp. TSH100,652764,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Azospirillaceae;Azospirillum,2,0.000121984,0.00128877
Azotobacter vinelandii,354,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Azotobacter,1,6.09918e-05,0.000644384
Bacillus anthracis,1392,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus,8,0.000487934,0.00515507
Bacillus cereus,1396,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus,2,0.000121984,0.00128877
Bacillus cytotoxicus,580165,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus,2,0.000121984,0.00128877
Bacillus glycinifermentans,1664069,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus,1,6.09918e-05,0.000644384
Bacillus haynesii,1925021,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus,5,0.000304959,0.00322192
Bacillus licheniformis,1402,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus,1,6.09918e-05,0.000644384
Bacillus mycoides,1405,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus,3,0.000182975,0.00193315
Bacillus pumilus,1408,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus,1,6.09918e-05,0.000644384
Bacillus sp. A260,2660750,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus,1,6.09918e-05,0.000644384
Bacillus sp. SYJ,2529386,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus,2,0.000121984,0.00128877
Bacillus sp. THAF10,2587848,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus,1,6.09918e-05,0.000644384
Bacillus subtilis,1423,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus,18,0.00109785,0.0115989
Bacillus thuringiensis,1428,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus,9,0.000548926,0.00579945
Bacillus velezensis,492670,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus,3,0.000182975,0.00193315
Baekduia soli,496014,Bacteria;Actinobacteria;Rubrobacteria;Rubrobacterales;Baekduiaceae;Baekduia,2,0.000121984,0.00128877
Bathymodiolus thermophilus thioautotrophic gill symbiont,2360,Bacteria;Proteobacteria;Gammaproteobacteria;;;,1,6.09918e-05,0.000644384
Bdellovibrio bacteriovorus,959,Bacteria;Proteobacteria;Oligoflexia;Bdellovibrionales;Bdellovibrionaceae;Bdellovibrio,2,0.000121984,0.00128877
BeAn 58058 virus,67082,Viruses;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae;,1,6.09918e-05,0.000644384
Beutenbergia cavernae,84757,Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Beutenbergiaceae;Beutenbergia,1,6.09918e-05,0.000644384
Bifidobacterium animalis,28025,Bacteria;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium,1,6.09918e-05,0.000644384
Bifidobacterium breve,1685,Bacteria;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium,2,0.000121984,0.00128877
Bifidobacterium longum,216816,Bacteria;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium,1,6.09918e-05,0.000644384
Blastochloris tepida,2233851,Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Blastochloridaceae;Blastochloris,1,6.09918e-05,0.000644384
Blastococcus saxobsidens,138336,Bacteria;Actinobacteria;Actinomycetia;Geodermatophilales;Geodermatophilaceae;Blastococcus,3,0.000182975,0.00193315
Blastomonas sp. RAC04,1842535,Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Blastomonas,1,6.09918e-05,0.000644384
Blastomyces dermatitidis,5039,Eukaryota;Ascomycota;Eurotiomycetes;Onygenales;Ajellomycetaceae;Blastomyces,707,0.0431212,0.455579
Blastomyces percursus,1658174,Eukaryota;Ascomycota;Eurotiomycetes;Onygenales;Ajellomycetaceae;Blastomyces,504,0.0307398,0.324769
Blattabacterium cuenoti,1653831,Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Blattabacteriaceae;Blattabacterium,7,0.000426942,0.00451069
Blattabacterium punctulatus,164514,Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Blattabacteriaceae;Blattabacterium,3,0.000182975,0.00193315
Bordetella avium,521,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella,7,0.000426942,0.00451069
Bordetella hinzii,103855,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella,3,0.000182975,0.00193315
Bordetella holmesii,35814,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella,6,0.000365951,0.0038663
Bordetella parapertussis,519,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella,7,0.000426942,0.00451069
Bordetella pertussis,520,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella,37,0.00225669,0.0238422
Bordetella trematum,123899,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella,2,0.000121984,0.00128877
Borrelia miyamotoi,47466,Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Borreliaceae;Borrelia,5,0.000304959,0.00322192
Borrelia turicatae,142,Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Borreliaceae;Borrelia,2,0.000121984,0.00128877
Borreliella afzelii,29518,Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Borreliaceae;Borreliella,5,0.000304959,0.00322192
Bosea sp. ANAM02,2020412,Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Boseaceae;Bosea,2,0.000121984,0.00128877
Bosea sp. F3-2,2599640,Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Boseaceae;Bosea,2,0.000121984,0.00128877
Bosea sp. Tri-49,1867715,Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Boseaceae;Bosea,1,6.09918e-05,0.000644384
Botrytis cinerea,40559,Eukaryota;Ascomycota;Leotiomycetes;Helotiales;Sclerotiniaceae;Botrytis,148,0.00902678,0.0953688
Bovine alphaherpesvirus 1,10320,Viruses;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae;Varicellovirus,1,6.09918e-05,0.000644384
Brachyspira hampsonii,1287055,Bacteria;Spirochaetes;Spirochaetia;Brachyspirales;Brachyspiraceae;Brachyspira,2,0.000121984,0.00128877
Brachyspira hyodysenteriae,159,Bacteria;Spirochaetes;Spirochaetia;Brachyspirales;Brachyspiraceae;Brachyspira,4,0.000243967,0.00257754
Bradyrhizobium cosmicum,1404864,Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Bradyrhizobiaceae;Bradyrhizobium,1,6.09918e-05,0.000644384
Bradyrhizobium diazoefficiens,1355477,Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Bradyrhizobiaceae;Bradyrhizobium,7,0.000426942,0.00451069
Bradyrhizobium genosp. B,83627,Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Bradyrhizobiaceae;Bradyrhizobium,1,6.09918e-05,0.000644384
Bradyrhizobium japonicum,375,Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Bradyrhizobiaceae;Bradyrhizobium,3,0.000182975,0.00193315
Bradyrhizobium sp. CCBAU 051011,858422,Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Bradyrhizobiaceae;Bradyrhizobium,1,6.09918e-05,0.000644384
Bradyrhizobium sp. CCBAU 53338,1325111,Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Bradyrhizobiaceae;Bradyrhizobium,1,6.09918e-05,0.000644384
Bradyrhizobium sp. KBS0725,2578113,Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Bradyrhizobiaceae;Bradyrhizobium,1,6.09918e-05,0.000644384
Bradyrhizobium sp. ORS 278,114615,Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Bradyrhizobiaceae;Bradyrhizobium,1,6.09918e-05,0.000644384
Bradyrhizobium symbiodeficiens,1404367,Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Bradyrhizobiaceae;Bradyrhizobium,1,6.09918e-05,0.000644384
Bradyrhizobium vignae,1549949,Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Bradyrhizobiaceae;Bradyrhizobium,1,6.09918e-05,0.000644384
Brettanomyces bruxellensis,5007,Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Brettanomyces,40,0.00243967,0.0257754
Brettanomyces nanus,13502,Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Brettanomyces,885,0.0539777,0.57028
Brevibacterium casei,33889,Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Brevibacteriaceae;Brevibacterium,4,0.000243967,0.00257754
Brevibacterium linens,1703,Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Brevibacteriaceae;Brevibacterium,2,0.000121984,0.00128877
Brevibacterium sp. CS2,2575923,Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Brevibacteriaceae;Brevibacterium,1,6.09918e-05,0.000644384
Brevibacterium sp. W7.2,2823518,Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Brevibacteriaceae;Brevibacterium,1,6.09918e-05,0.000644384
Brevundimonas diminuta,293,Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas,67,0.00408645,0.0431737
